HEX_Code
#6900B4
#E98A00
#12ECBA
#5500DA
#00C224
#FF431F
#1466D6
#B8DB1A
#DA00BC
#00CBFF
#FFF425
#990044
#0A00E4
#0CE400
#D51800
#47025D
#E189FF
#724B00
#FFD37F
#00372A
#AEFFEC
#210055
#E4D2FF
#007516
#9BE4A8
#5C0F00
#FF9A86
#002574
#78A3FF
#4C5A00
#F0FFA0
#58024C
#FFB5F5
#00708C
#A9EDFF
#393600
#A09E7B
#4C0022
#A54B73
#01001F
#EDECFF
#033300
#98FF92
#491717
#FF6464
